name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M519T39,518.8041402,39.3642,4458535.464,4172333.078,3541233.526,4259724.313,3274402.059,4709587.746
M519T41,518.8550598,40.6559,389566.6038,1250800.011,342978.5053,633961.0248,757263.1681,864262.706
M519T571,518.9668892,571.237,273403.0972,311859.1283,230853.1732,284436.7341,220691.3246,143360.3669
M519T651,518.9658869,651.384,727811.8613,686366.609,655910.0211,590238.8024,480989.7926,638719.0127
M519T320,519.0109826,319.726,91798.23715,130617.6095,214948.9675,287470.8268,282408.775,137338.0041
M519T108,519.038404,108.0805,96320.0918,60291.3911,123019.5355,132837.9513,112450.9517,167546.0453
M519T205,519.0608832,205.062,2687487.855,1989235.532,2491305.73,2626303.422,2306197.732,2266518.296
M519T645,519.1491647,645.426,695675.985,678565.0931,762188.4435,873746.955,715440.5165,700914.1735
M519T306,519.1506118,305.7805,1679846.148,2092800.532,1971084.721,2324102.925,2239815.595,2202240.961
M519T390,519.1825474,390.441,267710.9464,237908.5215,270126.118,224642.8532,185224.4925,231190.1311
M519T491,519.2723362,490.8055,1457748.989,1528094.332,1718019.687,1532139.217,1310078.135,1465987.084
M519T555,519.294445,555.101,1446206.22,1460478.181,1894519.644,1444422.719,1827063.669,1858153.748
M519T483,519.3166514,482.55,1244550.937,1418692.788,1921896.716,1242330.691,1948131.168,1882750.312
M519T532,519.3686725,531.7455,1104410.147,1066560.23,992689.285,2502970.804,694580.1576,2658527.203
M519T562,519.4053267,561.822,11509162.86,5566642.245,4437502.797,13280830.13,7443305.63,6172089.062
M519T537,519.4051641,536.867,3907864.114,4462175.011,6941865.351,6488538.875,3881203.14,4876132.765
M520T338,520.1353655,338.263,227446.2886,401106.3162,377736.4133,272197.8147,155164.5513,385427.0981
M520T306,520.1537556,305.7805,371178.1958,503553.9809,427848.2089,518953.2206,525749.6494,562906.4679
M520T346,520.1644987,346.159,1048722.034,996142.7887,1120703.476,1174303.542,1111147.161,1200393.62
M520T555,520.2971995,554.89,332106.3992,207840.7917,309634.2811,209640.2886,308967.5012,273888.2103
M520T483,520.3202634,482.564,229482.9945,226044.4915,391320.1796,255706.5471,530520.2404,354226.3799
M520T559,520.4085884,559.486,4781611.253,2849398.143,1600065.571,8488131.023,2569908.085,2165779.729
